Using linkage method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0759797 to 1.09867 nm
Average RMSD is 0.509443
Number of structures for matrix 2001
Energy of the matrix is 137.013.

Found 1447 clusters

Writing middle structure for each cluster to cluster_d0.15/clust_id.pdb
Writing all structures for clusters with more than 50 structures to cluster_d0.15/clust_id.pdb%05d.pdb

cl. | #st  rmsd | middle rmsd | cluster members
    |           |             | 151500 151800 152000 153300 153600 153700 154200
    |           |             | 155700 156200 156300 156400 165400 166600 168500
    |           |             | 168800 169300 169600 170800 172100 172200 175700
    |           |             | 176100 176300 176400 176600 177200 177900 179900
    |           |             | 180100 180200 180700 180800 180900 181500 182400
    |           |             | 183000 183100 183200 183300 184100 184600 186000
    |           |             | 186200 186400 186500 186800 186900 187100 187300
    |           |             | 187400 188100 188700 189000 189200 189700 191900
    |           |             | 192000 192400 192500 192600 192900 193200 193400
    |           |             | 193500 194100 194200 194500 194600 194700 195300
    |           |             | 195400 195600 196200
254 |   1       |  30200      |  30200
255 |   1       |  30300      |  30300
256 |   2  0.138 |  30400 .138 |  30400 184400
257 |   1       |  30500      |  30500
258 |   1       |  30600      |  30600
259 |   1       |  30700      |  30700
260 |   1       |  30900      |  30900
261 |   1       |  31200      |  31200
262 |   1       |  31300      |  31300
263 |   1       |  31400      |  31400
264 |   1       |  31500      |  31500
265 |   1       |  31600      |  31600
266 |   1       |  31700      |  31700
267 |   1       |  31800      |  31800
268 |   1       |  31900      |  31900
269 |   1       |  32000      |  32000
270 |   1       |  32100      |  32100
271 |   1       |  32300      |  32300
272 |   1       |  32400      |  32400
273 |   1       |  32700      |  32700
274 |   1       |  32800      |  32800
275 |   1       |  32900      |  32900
276 |   1       |  33000      |  33000
277 |   1       |  33100      |  33100
278 |   1       |  33200      |  33200
279 |   1       |  33300      |  33300
280 |   1       |  33400      |  33400
281 |   2  0.146 |  33500 .146 |  33500  33600
282 |   2  0.138 |  33700 .138 |  33700  33800
283 |   2  0.129 |  33900 .129 |  33900  34100
284 |   7  0.166 |  35200 .144 |  34000  34200  35100  35200  35300  35500  35600
285 |   1       |  34300      |  34300
286 |   1       |  34400      |  34400
287 |   1       |  34500      |  34500
288 |   1       |  34600      |  34600
289 |   1       |  34700      |  34700
290 |   1       |  34800      |  34800
291 |   1       |  34900      |  34900
292 |   1       |  35000      |  35000
293 |   1       |  35400      |  35400
294 |   1       |  35700      |  35700
295 |   1       |  35800      |  35800
296 |   2  0.142 |  35900 .142 |  35900  36100
297 |   1       |  36000      |  36000
298 |   1       |  36200      |  36200
299 |   1       |  36300      |  36300
300 |   1       |  36400      |  36400
301 |   1       |  36500      |  36500
302 |   2  0.144 |  36600 .144 |  36600  36800
303 |   1       |  36700      |  36700
304 |   1       |  36900      |  36900
305 |   1       |  37000      |  37000
306 |   2  0.115 |  37100 .115 |  37100  37400
307 |   1       |  37200      |  37200
308 |   2  0.124 |  37300 .124 |  37300  37500
309 |   2  0.149 |  37600 .149 |  37600  37700
310 |   1       |  37800      |  37800
311 |   1       |  37900      |  37900
312 |   1       |  38000      |  38000
313 |   1       |  38100      |  38100
314 |   1       |  38200      |  38200
315 |   1       |  38300      |  38300
316 |   1       |  38400      |  38400
317 |   1       |  38500      |  38500
318 |   1       |  38600      |  38600
319 |   1       |  38700      |  38700
320 |   1       |  38800      |  38800
321 |   1       |  38900      |  38900
322 |   1       |  39000      |  39000
323 |   1       |  39100      |  39100
324 |   3  0.170 |  40900 .146 |  39200  40700  40900
325 |   1       |  39300      |  39300
326 |   1       |  39400      |  39400
327 |   1       |  39500      |  39500
328 |   1       |  39600      |  39600
329 |   1       |  39700      |  39700
330 |   1       |  39800      |  39800
331 |   1       |  39900      |  39900
332 |   1       |  40000      |  40000
333 |   1       |  40100      |  40100
334 |   1       |  40200      |  40200
335 |   1       |  40300      |  40300
336 |   1       |  40400      |  40400
337 |   1       |  40600      |  40600
338 |   1       |  40800      |  40800
339 |   1       |  41000      |  41000
340 |   1       |  41100      |  41100
341 |   1       |  41200      |  41200
342 |   1       |  41300      |  41300
343 |   1       |  41400      |  41400
344 |   1       |  41500      |  41500
345 |   8  0.177 | 184200 .157 |  41600 154000 154600 179000 179600 184200 187600
    |           |             | 189600
346 |   1       |  41700      |  41700
347 |   3  0.150 |  41800 .143 |  41800 148800 169800
348 |   1       |  41900      |  41900
349 |   1       |  42000      |  42000
350 |   1       |  42100      |  42100
351 |   1       |  42300      |  42300
352 |   1       |  42400      |  42400
353 |   1       |  42500      |  42500
354 |   2  0.140 |  42600 .140 |  42600  49000
355 |   1       |  42700      |  42700
356 |   1       |  42800      |  42800
357 |   1       |  42900      |  42900
358 |   1       |  43000      |  43000
359 |   1       |  43100      |  43100
360 |   1       |  43200      |  43200
361 |   1       |  43300      |  43300
362 |   1       |  43400      |  43400
363 |   1       |  43500      |  43500
364 |   1       |  43600      |  43600
365 |   2  0.115 |  43700 .115 |  43700  43800
366 |   1       |  43900      |  43900
367 |   1       |  44000      |  44000
368 |   1       |  44100      |  44100
369 |   1       |  44200      |  44200
370 |   1       |  44300      |  44300
371 |   1       |  44400      |  44400
372 |   1       |  44500      |  44500
373 |  85  0.273 |  71500 .215 |  44600  67900  68000  68100  68200  68300  68400
    |           |             |  68500  68600  68700  68800  69800  69900  70100
    |           |             |  70300  70700  70800  70900  71200  71300  71400
    |           |             |  71500  71600  71700  71800  72500  72600  73600
    |           |             |  73700  73800  74200  74300  75100  75400  75800
    |           |             |  75900  76000  86900  87000  87300  87400  87500
    |           |             |  87600  87700  87800  88400 123800 128300 130000
    |           |             | 130100 130200 130300 130400 130500 130700 131100
    |           |             | 131200 131700 131800 131900 132100 132200 132300
    |           |             | 132400 132500 132600 132700 132800 132900 133000
    |           |             | 133100 133200 133300 133400 133500 133700 133800
    |           |             | 134000 134300 134400 134500 134600 134700 134900
    |           |             | 135000
374 |  25  0.211 |  45700 .169 |  44700  44800  45100  45200  45300  45600  45700
    |           |             |  45800  45900  46000  46200  46600  47100  69500
    |           |             |  72200  72300  72400  73500  74900 124000 127500
    |           |             | 129400 129600 129800 129900
375 |   1       |  44900      |  44900
376 |   1       |  45000      |  45000
377 |   1       |  45400      |  45400
378 |   1       |  45500      |  45500
379 |   7  0.172 |  46100 .150 |  46100  46500  71900 128800 129100 129200 129500
380 |   1       |  46300      |  46300
381 |   1       |  46400      |  46400
382 |  18  0.196 | 126400 .173 |  46700  46800  73400  74600  74800  76100 125900
    |           |             | 126000 126100 126200 126300 126400 126500 126700
    |           |             | 126800 127100 127200 127300
383 |   1       |  46900      |  46900
384 |   1       |  47000      |  47000
385 |   2  0.140 |  47200 .140 |  47200 137700
386 |   1       |  47300      |  47300
387 |   1       |  47400      |  47400
388 |   1       |  47500      |  47500
389 |   1       |  47600      |  47600
390 |   1       |  47700      |  47700
391 |   1       |  47800      |  47800
392 |   1       |  47900      |  47900
393 |   1       |  48100      |  48100
394 |   1       |  48200      |  48200
395 |   1       |  48300      |  48300
396 |   1       |  48400      |  48400
397 |   1       |  48500      |  48500
398 |   1       |  48600      |  48600
399 |   1       |  48700      |  48700
400 |   1       |  48800      |  48800
401 |   1       |  48900      |  48900
402 |   1       |  49200      |  49200
403 |   1       |  49500      |  49500
404 |   1       |  49600      |  49600
405 |   1       |  49700      |  49700
406 |   1       |  49800      |  49800
407 |   3  0.138 |  49900 .135 |  49900  50100 122500
408 |   1       |  50000      |  50000
409 |   1       |  50200      |  50200
410 |   1       |  50300      |  50300
411 |   1       |  50400      |  50400
412 |   1       |  50500      |  50500
413 |   1       |  50600      |  50600
414 |   1       |  50700      |  50700
415 |   4  0.168 |  51300 .143 |  50800  51300 170900 172000
416 |   1       |  50900      |  50900
417 |   1       |  51000      |  51000
418 |   1       |  51100      |  51100
419 |   1       |  51200      |  51200
420 |   1       |  51400      |  51400
421 |   1       |  51500      |  51500
422 |   1       |  51600      |  51600
423 |   3  0.153 | 180000 .148 |  51700  63900 180000
424 |   1       |  51800      |  51800
425 |   1       |  51900      |  51900
426 |   1       |  52000      |  52000
427 |   1       |  52100      |  52100
428 |   1       |  52200      |  52200
429 |   1       |  52300      |  52300
430 |   1       |  52400      |  52400
431 |   1       |  52500      |  52500
432 |   1       |  52600      |  52600
433 |   1       |  52700      |  52700
434 |   1       |  52800      |  52800
435 |   1       |  52900      |  52900
436 |   1       |  53000      |  53000
437 |   1       |  53100      |  53100
438 |   1       |  53200      |  53200
439 |   1       |  53300      |  53300
440 |   1       |  53400      |  53400
441 |   1       |  53500      |  53500
442 |   1       |  53600      |  53600
443 |   1       |  53700      |  53700
444 |   1       |  53800      |  53800
445 |   1       |  53900      |  53900
446 |   1       |  54000      |  54000
447 |   2  0.140 |  54100 .140 |  54100  54200
448 |   1       |  54300      |  54300
449 |   1       |  54400      |  54400
450 |   1       |  54500      |  54500
451 |   1       |  54600      |  54600
452 |   1       |  54700      |  54700
453 |   1       |  54800      |  54800
454 |   1       |  54900      |  54900
455 |   1       |  55000      |  55000
456 |   1       |  55100      |  55100
457 |   1       |  55200      |  55200
458 |   1       |  55300      |  55300
459 |   1       |  55400      |  55400
460 |   1       |  55500      |  55500
461 |   1       |  55600      |  55600
462 |   1       |  55700      |  55700
463 |   1       |  55800      |  55800
464 |   1       |  55900      |  55900
465 |   2  0.141 |  56000 .141 |  56000  56500
466 |   1       |  56100      |  56100
467 |   1       |  56200      |  56200
468 |   4  0.153 |  60800 .143 |  56300  60600  60700  60800
469 |   1       |  56400      |  56400
470 |   1       |  56600      |  56600
471 |   1       |  56700      |  56700
472 |   1       |  56800      |  56800
473 |   1       |  56900      |  56900
474 |   1       |  57000      |  57000
475 |   2  0.104 |  57100 .104 |  57100  57200
476 |   1       |  57300      |  57300
477 |   1       |  57400      |  57400
478 |   1       |  57500      |  57500
479 |   1       |  57600      |  57600
480 |   1       |  57700      |  57700
481 |   1       |  57800      |  57800
482 |   1       |  57900      |  57900
483 |   1       |  58000      |  58000
484 |   1       |  58100      |  58100
485 |   1       |  58200      |  58200
486 |   1       |  58300      |  58300
487 |   1       |  58400      |  58400
488 |   2  0.100 |  58500 .100 |  58500  59500
489 |   1       |  58600      |  58600
490 |   1       |  58700      |  58700
491 |   1       |  58800      |  58800
492 |   1       |  58900      |  58900
493 |   1       |  59000      |  59000
494 |   1       |  59100      |  59100
495 |   1       |  59200      |  59200
496 |   1       |  59300      |  59300
497 |   1       |  59400      |  59400
498 |   1       |  59600      |  59600
499 |   1       |  59700      |  59700
500 |   1       |  59800      |  59800
501 |   1       |  59900      |  59900
502 |   1       |  60000      |  60000
503 |   1       |  60100      |  60100
504 |   1       |  60200      |  60200
505 |   1       |  60300      |  60300
506 |   1       |  60400      |  60400
507 |   1       |  60500      |  60500
508 |   1       |  60900      |  60900
509 |   1       |  61000      |  61000
510 |   1       |  61100      |  61100
511 |   1       |  61200      |  61200
512 |   1       |  61300      |  61300
513 |   1       |  61400      |  61400
514 |   1       |  61500      |  61500
515 |   1       |  61600      |  61600
516 |   1       |  61700      |  61700
517 |   1       |  61800      |  61800
518 |   1       |  61900      |  61900
519 |   1       |  62000      |  62000
520 |   1       |  62100      |  62100
521 |   1       |  62200      |  62200
522 |   1       |  62500      |  62500
523 |   1       |  62700      |  62700
524 |   1       |  62800      |  62800
525 |   1       |  62900      |  62900
526 |   1       |  63000      |  63000
527 |   1       |  63100      |  63100
528 |   1       |  63200      |  63200
529 |   1       |  63300      |  63300
530 |   1       |  63400      |  63400
531 |   1       |  63500      |  63500
532 |   1       |  63600      |  63600
533 |   1       |  63800      |  63800
534 |   5  0.185 | 186600 .161 |  64000  79300 171200 186600 193300
535 |   4  0.157 |  64100 .138 |  64100  66500 154700 154800
536 |   2  0.125 |  64200 .125 |  64200 194800
537 |   1       |  64300      |  64300
538 |   1       |  64400      |  64400
539 |   1       |  64500      |  64500
540 |   1       |  64700      |  64700
541 |   1       |  64800      |  64800
542 |   1       |  64900      |  64900
543 |   1       |  65200      |  65200
544 |   1       |  65500      |  65500
545 |   1       |  65600      |  65600
546 |   1       |  65700      |  65700
547 |   1       |  65800      |  65800
548 |   1       |  65900      |  65900
549 |   1       |  66200      |  66200
550 |   1       |  66400      |  66400
551 |   1       |  66700      |  66700
552 |   9  0.208 | 184900 .178 |  66800  93500 101700 103700 138200 138400 172700
    |           |             | 184900 188600
553 |   1       |  66900      |  66900
554 |   1       |  67000      |  67000
555 |   1       |  67200      |  67200
556 |   1       |  67300      |  67300
557 |   1       |  67400      |  67400
558 |   1       |  67500      |  67500
559 |   1       |  67600      |  67600
560 |   1       |  67700      |  67700
561 |   1       |  67800      |  67800
562 |   2  0.112 |  68900 .112 |  68900  69100
563 |   4  0.158 |  72000 .136 |  69000  72000  72100  87200
564 |   1       |  69200      |  69200
565 |   1       |  69300      |  69300
566 |   1       |  69400      |  69400
567 |   1       |  69600      |  69600
568 |   1       |  69700      |  69700
569 |   1       |  70000      |  70000
570 |   1       |  70200      |  70200
571 |   1       |  70400      |  70400
572 |   1       |  70500      |  70500
573 |   1       |  70600      |  70600
574 |   1       |  71000      |  71000
575 |   1       |  71100      |  71100
576 |   9  0.154 |  73200 .122 |  72700  72800  72900  73000  73100  73200 123100
    |           |             | 127600 127700
577 |   1       |  73300      |  73300
578 |   1       |  73900      |  73900
579 |   1       |  74000      |  74000
580 |   1       |  74100      |  74100
581 |   1       |  74400      |  74400
582 |   1       |  74500      |  74500
583 |   1       |  74700      |  74700
584 |   1       |  75000      |  75000
585 |   1       |  75200      |  75200
586 |   1       |  75300      |  75300
587 |   1       |  75500      |  75500
588 |   1       |  75600      |  75600
589 |   1       |  75700      |  75700
590 |   1       |  76200      |  76200
591 |   1       |  76300      |  76300
592 |   1       |  76400      |  76400
593 |   1       |  76500      |  76500
594 |   1       |  76600      |  76600
595 |   1       |  76700      |  76700
596 |   1       |  76800      |  76800
597 |   1       |  76900      |  76900
598 |   3  0.148 | 155900 .140 |  77000 155900 156000
599 |   1       |  77100      |  77100
600 |   1       |  77200      |  77200
601 |   2  0.147 |  77300 .147 |  77300 173400
602 |   1       |  77400      |  77400
603 |   1       |  77500      |  77500
604 |   1       |  77600      |  77600
605 |   1       |  77700      |  77700
606 |   1       |  77800      |  77800
607 |   2  0.147 |  78000 .147 |  78000 118600
608 |   1       |  78100      |  78100
609 |   2  0.147 |  78300 .147 |  78300 175900
610 |   1       |  78400      |  78400
611 |   2  0.146 |  78500 .146 |  78500 118100
612 |   1       |  78800      |  78800
613 |   1       |  79100      |  79100
614 |   1       |  79200      |  79200
615 |   2  0.132 |  79900 .132 |  79900 195000
616 |   1       |  80000      |  80000
617 |   1       |  80100      |  80100
618 |   1       |  80300      |  80300
619 |   1       |  80400      |  80400
620 |   1       |  80500      |  80500
621 |   1       |  80600      |  80600
622 |   1       |  80700      |  80700
623 |   1       |  80800      |  80800
624 |   1       |  80900      |  80900
625 |   1       |  81000      |  81000
626 |   2  0.142 |  81100 .142 |  81100  81400
627 |   1       |  81200      |  81200
628 |   1       |  81300      |  81300
629 |   1       |  81500      |  81500
630 |   1       |  81600      |  81600
631 |   1       |  81700      |  81700
632 |   1       |  81800      |  81800
633 |   1       |  81900      |  81900
634 |   1       |  82000      |  82000
635 |   1       |  82100      |  82100
636 |   1       |  82200      |  82200
637 |   1       |  82300      |  82300
638 |   1       |  82400      |  82400
639 |   3  0.162 | 116500 .146 |  82500 116300 116500
640 |   3  0.165 | 192200 .141 |  82800 192100 192200
641 |   1       |  82900      |  82900
642 |   1       |  83000      |  83000
643 |   1       |  83100      |  83100
644 |   1       |  83200      |  83200
645 |   1       |  83300      |  83300
646 |   1       |  83400      |  83400
647 |   1       |  83500      |  83500
648 |   1       |  83600      |  83600
649 |   1       |  83800      |  83800
650 |   1       |  84100      |  84100
651 |   2  0.149 |  84200 .149 |  84200 175600
652 |   1       |  84400      |  84400
653 |   1       |  84600      |  84600
654 |   2  0.149 |  84700 .149 |  84700  84800
655 |   1       |  84900      |  84900
656 |   1       |  85000      |  85000
657 |   1       |  85100      |  85100
658 |   1       |  85200      |  85200
659 |   1       |  85300      |  85300
660 |   1       |  85400      |  85400
661 |   1       |  85500      |  85500
662 |   1       |  85600      |  85600
663 |   1       |  85700      |  85700
664 |   1       |  85800      |  85800
665 |   1       |  85900      |  85900
666 |   1       |  86000      |  86000
667 |   1       |  86100      |  86100
668 |   1       |  86200      |  86200
669 |   1       |  86300      |  86300
670 |   1       |  86400      |  86400
671 |   3  0.160 |  86600 .137 |  86500  86600  86700
672 |   1       |  86800      |  86800
673 |   1       |  87100      |  87100
674 |   1       |  87900      |  87900
675 |   1       |  88000      |  88000
676 |   1       |  88100      |  88100
677 |   1       |  88200      |  88200
678 |   1       |  88300      |  88300
679 |   1       |  88500      |  88500
680 |   1       |  88600      |  88600
681 |   1       |  88700      |  88700
682 |   1       |  88800      |  88800
683 |   2  0.144 |  88900 .144 |  88900 103800
684 |   1       |  89100      |  89100
685 |   1       |  89200      |  89200
686 |   1       |  89300      |  89300
687 |   1       |  89400      |  89400
688 |   3  0.136 |  90300 .126 |  89500  90300  90600
689 |   1       |  89700      |  89700
690 |   1       |  89800      |  89800
691 |   2  0.145 |  89900 .145 |  89900  91000
692 |   1       |  90000      |  90000
693 |   1       |  90100      |  90100
694 |   1       |  90200      |  90200
695 |   1       |  90400      |  90400
696 |   1       |  90700      |  90700
697 |   1       |  90900      |  90900
698 |   1       |  91100      |  91100
699 |   1       |  91200      |  91200
700 |   1       |  91300      |  91300
701 |   1       |  91400      |  91400
702 |   1       |  91500      |  91500
703 |   1       |  91700      |  91700
704 |   1       |  91800      |  91800
